year,US  citizens/permanent residents,temporary residents
1984,25296,4897
1985,24711,5252
1986,24541,5318
1987,24585,5660
1989,25057,6677
1990,26619,8140
1991,27437,9374
1992,28005,9980
1993,28722,9964
1994,30904,9421
1995,32062,8831
1996,31548,9740
1997,31097,9194
1998,31204,9461
1999,30312,9060
2000,29952,9667
2001,28894,9812
2002,27737,9747
2003,28170,10597
2004,28039,11629
2005,27945,12832
2006,29028,14198
2007,29501,15123
2008,30844,15261
2009,32327,14737
2010,31604,13636
2011,31726,14235
2012,32981,14784
2013,33964,15674
2014,34005,15852
2015,35117,16155
2016,35719,16498
2017,35791,16323
2018,35404,17604
