year,White,Asian (somestimes also Pacific Islander),Black,Hispanic,American Indian/Alaskan Native,Native Hawaiian or Other Pacific Islander (when reported),More than one race (when reported),Unknown,Temporary resident
1990,238465,17155,12774,10159,1054,NaN,NaN,14704,102817
1991,243596,18135,13691,11045,1120,NaN,NaN,16469,108634
1992,253425,21751,15445,12246,1243,NaN,NaN,17061,109464
1993,256840,24059,17116,13381,1309,NaN,NaN,17443,105721
1994,255701,26475,17610,13277,1382,NaN,NaN,14628,102160
1995,245893,25904,18282,14111,1516,NaN,NaN,18287,98540
1996,238062,25928,19068,14568,1538,NaN,NaN,17937,98157
1997,228018,26007,19346,14980,1600,NaN,NaN,18714,98991
1998,220689,26709,19654,15476,1607,NaN,NaN,18740,102028
1999,216750,27570,20273,16520,1553,NaN,NaN,18588,109928
2000,205569,24998,20834,17203,1602,NaN,NaN,20445,122885
2001,206018,26494,21455,17974,1683,NaN,NaN,20984,134621
2002,213135,29229,22668,19634,1734,NaN,NaN,22719,145715
2003,222674,31786,24174,21241,1879,NaN,NaN,25427,147464
2004,224850,30645,24624,22212,1848,NaN,NaN,27843,143851
2005,225776,30574,25248,23387,1958,NaN,NaN,31570,139762
2006,227993,30179,25664,24140,2112,NaN,NaN,33515,142684
2008,242623,31477,28680,26098,2618,NaN,NaN,38285,159494
2009,250443,32879,29973,27265,2549,NaN,NaN,39233,163343
2010,255256,33273,31094,28609,2500,NaN,NaN,39671,166129
2012,250783,32700,31338,31406,2188,920,7578,28430,176075
2014,245103,33745,30482,35132,2112,902,9335,25701,219371
2016,237563,35674,30600,39578,1860,862,10514,23098,240740
