year,White (sometimes also non-Hispanic),Asian (somestimes also Pacific Islander),Black (sometimes also non-Hispanic),Hispanic,American Indian (sometimes also Alaskan Native),Native Hawaiian (when reported),Multiple races (when reported)
1991,95500,6600,2200,1700,200,NaN,NaN
1993,115800,8700,4000,2200,NaN,NaN,NaN
1995,80600,6900,1800,1900,500,NaN,NaN
1997,84400,8000,2100,2400,400,NaN,NaN
2001,86120,9240,2540,2980,430,NaN,NaN
2003,108900,14700,4100,3600,1100,NaN,NaN
2006,83900,10500,3100,3300,900,NaN,NaN
2008,84600,11600,2800,3400,NaN,NaN,1200
2010,87600,12400,3300,4200,300,58.3333333333333,1200
2013,87400,14100,3200,4300,300,58.3333333333333,1400
2015,89250,18150,4100,4950,300,62.5,1250
2017,84400,17200,4050,4750,200,75,1300
