year,White,Asian (somestimes also Pacific Islander),Black,Hispanic,American Indian/Alaskan Native,Native Hawaiian or Other Pacific Islander (when reported),More than one race (when reported),Unknown,Temporary resident
1981,313486,9572,23767,13107,1430,NaN,NaN,49,13282
1985,307061,13996,20223,13373,1603,NaN,NaN,4004,15526
1987,298129,17921,20224,13846,1487,NaN,NaN,10019,14824
1989,293262,20222,20481,14811,1466,NaN,NaN,7868,13138
1990,270225,19437,18230,13918,1271,NaN,NaN,10394,12318
1991,278190,20552,19987,15351,1344,NaN,NaN,8637,12724
1992,292614,22635,22431,17391,1561,NaN,NaN,8063,12238
1993,297171,24504,24421,18442,1819,NaN,NaN,8276,13802
1994,297616,26420,26289,20529,2004,NaN,NaN,8593,13929
1995,294773,29128,27528,22190,2126,NaN,NaN,9310,14754
1996,295082,31031,29055,23791,2268,NaN,NaN,9847,14847
1997,292252,33139,30444,25266,2419,NaN,NaN,10432,14797
1998,290207,34568,31398,26725,2533,NaN,NaN,11127,14728
2000,270341,35556,32993,27980,2607,NaN,NaN,13930,15195
2001,267866,36468,33386,28361,2800,NaN,NaN,15833,15721
2002,276403,37518,34899,29935,2649,NaN,NaN,18235,16344
2003,290875,39944,36961,32533,2909,NaN,NaN,21635,17898
2004,297708,41403,38737,33748,3264,NaN,NaN,24973,18825
2005,303321,43312,39846,35662,3209,NaN,NaN,26305,18559
2006,308888,44475,40108,37049,3341,NaN,NaN,26743,18254
2007,312763,45516,40401,38546,3319,NaN,NaN,27834,17393
2008,316982,47323,41263,40877,3392,NaN,NaN,29805,16526
2009,320081,48348,41822,43018,3564,NaN,NaN,31547,17055
2010,326643,50367,43428,46336,3624,NaN,NaN,36745,18231
2011,338461,51139,46341,51421,3445,1240,7168,34352,20798
2012,354806,53264,49696,58165,3411,1485,9613,35245,23882
2013,365827,56080,52165,65726,3446,1549,12149,32010,26523
2014,372882,57374,52647,73179,3192,1568,16956,28813,29304
2015,373795,59092,53649,79203,2972,1611,20135,26961,32639
2016,374883,62101,54432,86279,2930,1436,23005,23937,37154
