year,number of undergraduate degrees
1966,184313
1967,199832
1968,226597
1969,262189
1970,284230
1971,294357
1972,306459
1973,321085
1974,326230
1975,313555
1976,309491
1977,303798
1978,303555
1979,303162
1980,304695
1981,306792
1982,315023
1983,317571
1984,324284
1985,332273
1986,335405
1987,331526
1988,322482
1989,322821
1990,329094
1991,337675
1992,355265
1993,366035
1994,373261
1995,378148
1996,384674
1997,388482
1998,390618
1999,NaN
2000,398602
2001,400435
2002,415983
2003,442755
2004,458658
2005,470214
2006,478858
2007,485772
2008,496168
2009,505435
2010,525374
2011,554365
2012,589330
2013,615475
2014,635915
2015,650057
2016,666157
