"Race","Academic Stage","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"American Indian or Alaska Native","Population Average","0.00718340992662634","0.00727662721437976","0.00737582099930646","0.0074813348862914","0.00758121720026861","0.0076769465857487","0.00779854334251576","0.00789719157844894","0.00800909599662871","0.00813028466926668","0.00827974212341133","0.00828378305278903","0.0082861413325501","0.00828821182218412","0.0082939038896762","0.00830061664319573","0.00830391021765567","0.00830768174693135","0.00831476544325776","0.00831938677073256","0.00831481684829669","0.00833269369623987","0.00835060616543956","0.00836832466747005","0.00838155372728194","0.00838885534210732","0.00839358703166966","0.00840125073995985","0.00841237265456324","0.00842507622094004"
"American Indian or Alaska Native","Tenured","0.00598250542773025","0.00610720687716468","0.00623583490322072","0.00636698395717291","0.00649376387030681","0.00662257525568381","0.00677292026644734","0.00690375205618113","0.00704997835640402","0.00719685194968394","0.00738113178059793","0.00743423807596267","0.00747058127613109","0.00749865440720754","0.00752369994527155","0.00754140553229543","0.00756122195612213","0.00757836379940334","0.00759930510738609","0.00761227573474028","0.00761466529192643","0.00763403273578577","0.0076596930163031","0.00768512025534444","0.0077031094278439","0.00771632604060308","0.00772889956138238","0.00775195429204717","0.00777890203735505","0.00780077819910228"
"American Indian or Alaska Native","Assistant","0.00683925197725998","0.00691793811576416","0.00700757934442629","0.00712939971092606","0.0072295955297713","0.0073351618350224","0.00744994284301391","0.00761457507047868","0.00776367400796447","0.00792774454303703","0.00808485562840116","0.00808766741768304","0.00809229279353042","0.00810123168405755","0.0081078952850913","0.00810846696787169","0.00811899875246725","0.0081369045195029","0.00815198235105979","0.00817302947300422","0.00817799527492597","0.00816434821934305","0.00814815123225913","0.00814099199560721","0.00813500424030709","0.00811791845003131","0.00811455380184014","0.00812836106432027","0.00816002180524774","0.00820522865915004"
"American Indian or Alaska Native","Postdoc","0.00706379828594795","0.00710713933907658","0.0072233353513318","0.00732192565439645","0.00742360937971266","0.00753855835332469","0.00768612505015196","0.00782828743771223","0.00798286731424151","0.00814928536284458","0.00829195368806263","0.00827111831943472","0.00825484658673958","0.00823447794629994","0.00821991150715741","0.00820630324578198","0.00820605481819838","0.008217579963605","0.00825767401170673","0.00829406929738596","0.00832072392686495","0.00832363256891192","0.00834644826563034","0.0083776288955742","0.00841751259364509","0.00846976293802485","0.00852900069294697","0.00859877975348894","0.00865904130380059","0.00871311257437474"
"American Indian or Alaska Native","Phd","0.00717919460799007","0.00723517605818686","0.00731054833062224","0.00739250480020726","0.00747896183741537","0.00759192103253138","0.00774469488810413","0.00789651644307056","0.00806250249184594","0.00824067761105108","0.0083664090965211","0.00832627313659423","0.00828919538682792","0.00825061776175741","0.00821638010079778","0.00820401516551693","0.00820139918164176","0.0082281274163669","0.00829549415668375","0.00836651116952946","0.00842880092322035","0.00845625281408421","0.00849486653456023","0.00853256338878233","0.00858017751166703","0.0086382183158738","0.00870140105682974","0.00877723321830415","0.00885622756215129","0.00892807722799436"
"American Indian or Alaska Native","Graduate","0.00767956253863558","0.00780226648221324","0.0079514003044397","0.008117168525611","0.0082775568021037","0.00841378983495326","0.00855864550777097","0.00865468528806651","0.00877183164186894","0.00891373651742526","0.00903551403718995","0.00902613766214382","0.00903010278256602","0.0090727465675936","0.00911279524506719","0.00915940408446397","0.00917179460744635","0.00916243665981855","0.00917100568206661","0.00916539004553446","0.00916967125636099","0.00927215793211955","0.00941478641726499","0.00951786407427041","0.00958889009631166","0.0096382373887946","0.00966730523203786","0.0096809748956261","0.00970393309462134","0.00971083308840228"
"American Indian or Alaska Native","Undergraduate","0.00852175339788802","0.00870923350839296","0.00887511259325774","0.00905591869980995","0.00924499545917068","0.00941478988014794","0.00960395882196837","0.00971207952488821","0.00985730592931508","0.0100018277470095","0.0101522591483294","0.0102206046366935","0.0102657417664087","0.0103333134084843","0.0103893352816451","0.0104269716308202","0.0104337743364017","0.0104002670942709","0.0102779134674604","0.0101396537048547","0.0100042129098364","0.0100344885907809","0.0100534694732411","0.0100714962983372","0.0100614511448772","0.0100350699788136","0.00996345460516438","0.00986665296765059","0.00977567404299986","0.00971293476710166"
"Asian or Pacific Islander","Population Average","0.0284119423475452","0.0296847619046527","0.030981502218762","0.0322498943399923","0.0333536745525252","0.034503554330824","0.0356876131789047","0.0368853930775122","0.0380272863368384","0.0392679773615962","0.0406928724464294","0.0420508191848477","0.0433633224889309","0.0446121444048895","0.0457865007620183","0.0469966663361607","0.0481801737377012","0.0493132871190202","0.0504323752349627","0.0514845528575763","0.0525054071058831","0.0537036842910422","0.0549222624572545","0.0561832408597114","0.0575170154660648","0.058912649577364","0.060223174730346","0.0614290902340735","0.0623242362737349","0.0632482213301291"
"Asian or Pacific Islander","Tenured","0.0268941003325465","0.0281700996151614","0.0294794796329049","0.0307528529962528","0.0319153790209649","0.0330851952772344","0.034262746739384","0.0354109350160859","0.0366326038568869","0.0378231012536571","0.039173966651455","0.0403891345178984","0.0415877272674369","0.0428421942236001","0.0440928036740446","0.0454188297676693","0.0467148132369697","0.0480838750302882","0.0494958311148449","0.0508691722096431","0.0521776861047722","0.0535627440051328","0.0549127231229785","0.056343458409646","0.0577814423602621","0.0592284056198271","0.0606395572349722","0.0623080732714484","0.0636724056550523","0.0650515175826066"
"Asian or Pacific Islander","Assistant","0.0313894601551853","0.0325166943259322","0.0336476515498139","0.0349862757228713","0.0360228043486761","0.0370828741605154","0.0381708271113944","0.0396517925621962","0.0409976444721674","0.0425417194527312","0.0442896364775534","0.0459114282146284","0.0477095401160212","0.0495560740812422","0.0513916657613101","0.0532637320088401","0.0551110570442548","0.0569193304979136","0.0586268830202671","0.0603065509600135","0.0618641379595904","0.0638452311634927","0.0658726769136842","0.0677103677556785","0.0697377711700317","0.0717978085534233","0.0737192020678343","0.0755466596767818","0.0768472424058755","0.0781740763798968"
"Asian or Pacific Islander","Postdoc","0.0320868550358555","0.0334472320411784","0.0350942394676726","0.0365776288257139","0.0377877089076658","0.0391119269398209","0.0405490741345582","0.0422251649338887","0.0437594861560277","0.0457720274578819","0.0479558647453425","0.0500463576458243","0.052140274063807","0.0541005533214159","0.0559965505365192","0.0578791780526806","0.059819881610349","0.0615417875812482","0.0629351769459011","0.0642086846780996","0.0654042814222422","0.0671162399209884","0.0688445451275548","0.0704098759776291","0.0721469322001011","0.073908776241243","0.0756046429806507","0.0767990386793322","0.0773339994810627","0.0779116059669999"
"Asian or Pacific Islander","Phd","0.032300814565173","0.0338361178877876","0.0354527027929242","0.0369797656505676","0.0383385894062904","0.0398587667901442","0.041474830519537","0.043426342283279","0.0452747228450976","0.0476847678567507","0.0503232637447915","0.0530084054694215","0.0555031594970572","0.0576369843872097","0.0596475910318059","0.0615915633902956","0.0633126477590348","0.064763865609565","0.0657383729169335","0.0664881322310227","0.0672059265295597","0.0687232715956255","0.0699447372445488","0.0710546824218166","0.0724326275300018","0.0738653860446261","0.0752436781846409","0.0764666431891521","0.0771490842739399","0.077864347388618"
"Asian or Pacific Islander","Graduate","0.0323011357164329","0.0347804729779163","0.0374240573068412","0.0398903018491318","0.0420135844108714","0.0441052233864269","0.0460109666505347","0.047745548983478","0.0490510760823325","0.0507954282194069","0.0525755314292054","0.0546915019773758","0.0561370002726331","0.0570014083940632","0.0575571836787154","0.0580711310983805","0.0586243727419817","0.0591962455602317","0.0598170817483808","0.0603230862163776","0.0609030049008996","0.0622535924835253","0.0632226792164403","0.0641867006948267","0.0653799947229849","0.0667954246617984","0.0681854358484855","0.0692532719558552","0.0694415970397612","0.0694909852820733"
"Asian or Pacific Islander","Undergraduate","0.0326959722283575","0.03457606355126","0.036337327945508","0.0379464529963531","0.0392016582341672","0.040405667066548","0.0416024434730135","0.0425308488712283","0.0434233737168591","0.0443783903265565","0.0453361701276847","0.0461365653434898","0.0469435223631586","0.0477227757985278","0.0483088726377006","0.0488648810685365","0.0494685304147779","0.050228556350135","0.0511935611709319","0.0522652443728714","0.0534102787445478","0.0545177210321889","0.0555955483192946","0.0565775298712039","0.0575073534324688","0.0586445109185966","0.0598043510129083","0.0609063447694617","0.0617161293630194","0.0625555109679623"
