"Race","Academic Stage","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Native Hawaiian and Other Pacific Islander","Population Average",0.00165627660446947,0.00171062844371942,0.00176363201953592,0.00181446261933141,0.00186921822705544,0.00192477851303371,0.00198015676068703,0.00203515766545396,0.00209039662431184,0.00214486331943797,0.00219204173043604,0.002221796589216,0.00225172153967331,0.00228351060716508,0.0023099926846603,0.00233960303349511,0.00237137205403864,0.00240107914463234,0.00242980523457492,0.00245837854206241
"Native Hawaiian and Other Pacific Islander","Tenured",0.0013168541414918,0.00136226231879643,0.00140658387158381,0.00144835396116927,0.00149091886351921,0.00153666556556669,0.00158226354289714,0.00162841184547498,0.00167605529374516,0.00172360883751202,0.00177231252057133,0.00182105542670321,0.00187485652221292,0.0019307485294888,0.00198295622889553,0.00204038540546655,0.00209530993157906,0.00216322641595691,0.00222579607328264,0.00228414433089514
"Native Hawaiian and Other Pacific Islander","Assistant",0.00159804258755793,0.00165825433425795,0.00172066852927808,0.00178560071019623,0.0018558550360652,0.0019299529837981,0.00200977766771497,0.00209380432111853,0.0021772388482761,0.0022587013038964,0.00233353482703159,0.00240259998101524,0.00247323282700556,0.00255012124174735,0.00261639132797482,0.00267677641928477,0.00274166777480828,0.00279797170678128,0.00285244228723378,0.00290383745895877
"Native Hawaiian and Other Pacific Islander","Postdoc",0.00179417450226153,0.0018806890987209,0.0019712158410683,0.00205747137752139,0.00214946203978818,0.00223616048415145,0.00232470197478236,0.00240654149567615,0.00248103278789253,0.00255600356316618,0.0026252904717904,0.00269285609596125,0.00275188040007813,0.00281385275407387,0.00286132959363185,0.00290886857537898,0.00295602048112398,0.00298431773933121,0.00300437954738197,0.00302197051089296
"Native Hawaiian and Other Pacific Islander","Phd",0.00190904385147219,0.00200886635387888,0.00210797346499061,0.00220052061254624,0.00230048599791108,0.00239702750539901,0.00248496712068328,0.002564169162683,0.00263431656855814,0.00270894850917192,0.00277742439202326,0.00285476535200319,0.00291698893670118,0.00297249693987177,0.00300644338491409,0.00303890570797728,0.0030647793779538,0.00307079448911625,0.00307632471366861,0.00307888067707596
"Native Hawaiian and Other Pacific Islander","Graduate",0.00230140795110442,0.0024231508229347,0.00252797571754333,0.00259836116778196,0.00268345388656037,0.00274989310320261,0.00281027535361392,0.00286638640386056,0.00292864529570889,0.00299100261761301,0.00304587496433296,0.00306385450037139,0.00304654894264343,0.00303084987564915,0.00300069718439991,0.00297671707841954,0.00294869160385967,0.00291362877603325,0.00288476939949774,0.00286181662132673
"Native Hawaiian and Other Pacific Islander","Undergraduate",0.00228635603985038,0.00233520674737408,0.00237922061010471,0.00241944365021559,0.00246454476902322,0.00251162831679815,0.00257609938081186,0.00264748736349053,0.00273207936707961,0.00282192881316197,0.00288667767018371,0.00285791038817916,0.00282455940226741,0.00279722362217147,0.0027685398640214,0.00274648928780491,0.00273699996896987,0.00274586144517789,0.00276366709135759,0.00278076655208983
"Two or More Races","Population Average",0.0140329003638972,0.0147985207722013,0.0155757739900065,0.0163772012397882,0.0172117616533018,0.0180669885145775,0.0189580289171746,0.0198939547455321,0.0208675202716781,0.0218611486595942,0.0227569736418011,0.0233230065082756,0.0238851459506915,0.024458935836746,0.0250330686982933,0.025613912470355,0.0261891765219223,0.0267533934794557,0.0273066737254818,0.0278526970684149
"Two or More Races","Tenured",0.00891434374863175,0.00926693188129238,0.00961059149446972,0.00995506200881934,0.0103122342087391,0.0106852999276734,0.0110721552574505,0.0114685738365801,0.0118856222110479,0.0123193019774936,0.0127245283606929,0.0130363061751312,0.0133694062087035,0.0137270552042584,0.0140834974970387,0.0144524090458855,0.0148256774564144,0.0152430035823734,0.0156599558870834,0.0160603538459344
"Two or More Races","Assistant",0.0102250538233016,0.0107403211303879,0.0112778507409766,0.0118271075739858,0.0124210116594194,0.0130285195289492,0.0136803002149529,0.014378844461147,0.0151404208227057,0.0159578223366891,0.0167415750410073,0.0172672154322594,0.0177806320422655,0.0183135564993248,0.0188511968942519,0.019386597011266,0.0199239855323146,0.0204861591582288,0.0210673189898584,0.0216583380874489
